Date,America Tropical Interpretive Center,Avila Adobe,Chinese American Museum,Firehouse Museum
2014-01-01T00:00:00.000,6602,24778,1581,4486
2014-02-01T00:00:00.000,5029,18976,1785,4172
2014-03-01T00:00:00.000,8129,25231,3229,7082
2014-04-01T00:00:00.000,2824,26989,2129,6756
2014-05-01T00:00:00.000,10694,36883,3676,10858
2014-06-01T00:00:00.000,11036,29487,2121,5751
2014-07-01T00:00:00.000,13490,32378,2239,5406
2014-08-01T00:00:00.000,9139,37680,1769,8619
2014-09-01T00:00:00.000,5661,28473,1073,61192
2014-10-01T00:00:00.000,7356,27995,1979,6488
2014-11-01T00:00:00.000,9773,25691,2404,4189
2014-12-01T00:00:00.000,7184,18754,1319,4339
2015-01-01T00:00:00.000,6250,20438,1823,3858
2015-02-01T00:00:00.000,5907,15578,1558,3742
2015-03-01T00:00:00.000,9884,21297,2336,5390
2015-04-01T00:00:00.000,7254,26670,3057,7000
2015-05-01T00:00:00.000,13207,34383,4009,12528
2015-07-01T00:00:00.000,11072,41242,3057,6111
2015-06-01T00:00:00.000,11102,30569,2544,5377
2015-08-01T00:00:00.000,12096,30700,2415,5383
2015-09-01T00:00:00.000,6608,20967,1398,5746
2015-10-01T00:00:00.000,12524,29764,2237,8882
2015-11-01T00:00:00.000,6677,24483,2850,6848
2015-12-01T00:00:00.000,5967,21426,2075,4502
2016-01-01T00:00:00.000,6587,19659,2150,4377
2016-02-01T00:00:00.000,6955,17378,2547,3675
2017-05-01T00:00:00.000,7556,30029,5585,8733
2017-06-01T00:00:00.000,6818,22169,2946,4862
2016-03-01T00:00:00.000,9979,20322,7702,6334
2016-08-01T00:00:00.000,6245,25987,2153,5181
2016-09-01T00:00:00.000,6977,22897,1754,4736
2016-10-01T00:00:00.000,6282,25040,2607,6145
2016-11-01T00:00:00.000,6365,17760,2248,3930
2016-12-01T00:00:00.000,5223,20107,2263,3911
2017-01-01T00:00:00.000,4929,18792,2531,3551
2017-02-01T00:00:00.000,4493,14035,2139,3491
2017-03-01T00:00:00.000,6271,20680,5966,5273
2017-04-01T00:00:00.000,6685,25234,3273,5320
2016-05-01T00:00:00.000,7757,31728,4565,9315
2016-06-01T00:00:00.000,6751,23696,3034,4918
2016-04-01T00:00:00.000,5113,24521,3485,6509
2016-07-01T00:00:00.000,12188,31689,2776,5602
2017-07-01T00:00:00.000,8675,30831,2939,5242
2017-08-01T00:00:00.000,6212,27009,1784,5379
2017-09-01T00:00:00.000,4607,23403,1704,4484
2017-10-01T00:00:00.000,6097,22164,2419,4822
2017-11-01T00:00:00.000,6757,17629,2685,4613
2017-12-01T00:00:00.000,6780,18339,2768,4448
2018-03-01T00:00:00.000,4909,19001,4529,5225
2018-02-01T00:00:00.000,5705,14718,2710,3306
2018-04-01T00:00:00.000,4650,18966,2750,4535
2018-01-01T00:00:00.000,5837,16265,2477,3910
2018-05-01T00:00:00.000,5626,25173,4960,8013
2018-06-01T00:00:00.000,4694,22171,2518,4635
2018-07-01T00:00:00.000,4718,23136,2620,4191
2018-08-01T00:00:00.000,3891,20815,2409,4866
2018-09-01T00:00:00.000,3180,21020,2146,4956
2018-10-01T00:00:00.000,3775,19280,2364,4622
2018-11-01T00:00:00.000,4562,17163,2385,4082
2018-12-01T00:00:00.000,4081,17722,2078,4253
2019-01-01T00:00:00.000,3424,13958,2330,3608
2019-02-01T00:00:00.000,2907,10737,2371,2900
2019-03-01T00:00:00.000,4384,17056,3804,5045
2019-04-01T00:00:00.000,4830,21074,3484,5204
2019-05-01T00:00:00.000,6230,26041,4570,8202
2019-06-01T00:00:00.000,3995,20226,2853,4787
2019-07-01T00:00:00.000,4491,24097,2271,4432
2019-08-01T00:00:00.000,3410,20921,2017,4460
2019-09-01T00:00:00.000,3229,17689,1458,4293
2019-10-01T00:00:00.000,4200,18822,1987,4035
2019-11-01T00:00:00.000,4362,15507,2808,4385
2019-12-01T00:00:00.000,2702,15398,2388,3566
2020-01-01T00:00:00.000,3508,15518,2603,3403
2020-02-01T00:00:00.000,3075,12997,2425,3854
2020-03-01T00:00:00.000,1062,4520,524,1052
2020-04-01T00:00:00.000,0,0,0,0
2020-05-01T00:00:00.000,0,0,0,0
2020-06-01T00:00:00.000,0,0,0,0
2020-07-01T00:00:00.000,0,0,0,0
2020-08-01T00:00:00.000,0,0,0,0
2020-09-01T00:00:00.000,0,0,0,0
2020-10-01T00:00:00.000,0,0,0,0
2020-11-01T00:00:00.000,0,0,0,0
2020-12-01T00:00:00.000,0,0,0,0
2021-01-01T00:00:00.000,0,0,0,0
2021-02-01T00:00:00.000,0,0,0,0
2021-03-01T00:00:00.000,0,0,0,0
2021-04-01T00:00:00.000,0,0,0,0
2021-05-01T00:00:00.000,0,0,0,0
2021-06-01T00:00:00.000,1047,3710,0,1159
